pdb_id	n_protein_chains_ge128	min_msa_depth	median_msa_depth	max_msa_depth
9EEB	6	1	4513	31566
9K81	25	1	1	1
9CWP	2	1	295	295
9DEG	4	1	1	1
9MXI	21	1	8736	9677
9HNH	1	1	1	1
9PZI	15	1	8736	9677
9UOK	4	1	2210	2210
8Y69	6	1	10615	16613
9FGB	6	1	14523	15074
9K8D	3	1	1	1
9GBT	4	1	1	1
9FPM	3	1	1	1
9LP2	4	1	1	1
9CC6	1	1	1	1
9LNI	3	1	1	1
9K86	21	1	1	1
9K85	21	1	1	1
9YOQ	11	1	869	2043
9FAT	21	1	2423	14706
9FGC	6	1	14523	15074
9COD	15	1	1	1
9K3A	2	1	2476	2476
8ZMR	1	1	1	1
9K8L	3	1	1	1
9Y59	8	1	1	1
9LX4	6	1	1	1
9FAK	24	1	2423	14706
9MRB	1	1	1	1
9K8I	12	1	1	1
9VEL	20	2	11860	11860
9HZ8	52	2	81	2563
9VND	7	2	12622	12622
9RCV	7	2	7626	38499
9JDH	1	2	2	2
9K2V	30	2	11	6461
9E3J	6	2	13	2111
9I09	3	2	2	2
9E3K	8	2	77	25106
9OCH	3	2	38332	38777
9E3L	12	2	8858	9986
9OAB	60	2	5	3082
9IVK	9	2	8596	9188
9HU4	12	2	2	3
9J7X	3	2	2	2
9FED	1	2	2	2
9E3H	8	2	77	28054
8YNX	1	2	2	2
9VFJ	18	2	1886	11566
9LGW	2	3	5584	5584
9DD3	3	3	3	3
9RKV	13	3	3470	3665
9FPA	3	3	3	5447
9HU5	2	3	3	3
9H5B	4	3	3	24
9I5C	4	3	3	3
9HU6	2	3	3	3
9YA2	99	3	4545	46801
9HD7	42	3	4298	15627
8XB8	60	3	3	3
9FN4	6	3	5447	5447
9D0Y	6	3	320	320
9FEI	3	3	3	3
9HAR	180	3	3	3
9YA1	96	3	4545	46801
9YA3	108	3	4545	47043
9B45	42	3	3701	9854
9G9T	48	3	5814	41059
9I4X	16	3	5823	41059
8VSJ	5	3	8680	11819
9E5C	1103	4	4473	43101
9DD4	2	4	4	4
9DD0	4	4	13	13
9QZF	54	4	2306	49588
9NO1	24	4	77	102
9CCV	6	4	598	598
9DCZ	4	4	13	13
9YA0	117	4	31	21229
9Y9Z	378	4	1483	4985
9MT4	12	4	2866	21014
9DKR	6	4	4	4
9D45	9	4	3985	20313
8ZNI	2	4	5568	5568
9IO5	23	4	18982	20952
9QZC	9	4	2306	49588
9PF9	3	4	8303	9900
9DKS	6	4	4	4
8ZQE	4	5	6464	47452
9NW3	97	5	4458	7917
9XZY	1	5	5	5
8YH6	5	5	4796	39966
9N0I	8	5	5	5
9CTE	1	5	5	5
9DBD	3	5	5	5
9OCI	3	5	38332	38777
8YH5	5	5	4796	39966
9C39	10	5	2607	21565
8YH3	5	5	4796	39966
8YH0	5	5	4796	39966
9DBF	3	5	5	5
9DRL	24	5	1066	1066
8YH2	5	5	4796	39966
9BE7	6	6	6	6
9O0H	1	6	6	6
9XPS	15	6	6	14833
9BDS	6	6	6	6
9BE8	6	6	6	6
9M67	10	7	7	7
9F5Y	35	7	8640	38901
9F62	126	7	8057	41154
9F5X	57	7	8189	41154
9H19	5	7	2228	11094
9H22	5	7	2228	11245
8XH7	6	8	8	8
9R6H	2	8	8	8
8XH6	2	8	8	8
8ROR	9	8	9281	9841
8ZEO	4	8	4148	4148
8XKS	19	8	27	20801
9NXP	3	8	8	8
9E2G	415	8	4473	33593
8ZEP	4	8	4148	4148
8ZEN	4	8	4148	4148
9N9E	4	8	4520	4520
9EVD	5	8	16	10931
9MN2	2	9	9	9
9BRD	30	9	3737	20862
9BDQ	5	9	9	821
9IV9	15	9	9	923
9B8P	13	9	5214	20862
8Y3U	3	9	9	9
9CGI	5	9	9	839
9COK	7	9	9	831
8ZPV	5	9	9	844
9DLO	3	9	9	9
9IVA	15	9	9	839
9KNZ	5	9	9	839
9MZH	7	9	9	831
9FUX	15	9	9	845
9IR3	6	9	9	839
9MUW	7	9	9	902
9CWO	5	9	9	949
9HDI	1	9	9	9
9IR4	6	9	9	841
9BRC	30	9	3737	20862
9DD1	1	9	9	9
9BRB	30	9	3737	20862
9GJT	5	9	9	827
9BSU	5	10	10	15073
9BSV	6	10	15098	15098
9EUL	1	10	10	10
9E0H	7	10	10	10
9DZW	6	10	10	10
9NXO	12	10	10	10
9H9S	1	10	10	10
9RP3	2	10	10	10
9QUP	2	10	10	10
9DZ2	8	10	2660	3403
9DIX	6	11	14	121
9QUO	1	11	11	11
9QC8	5	11	11	47
9QCO	4	11	11	47
9QUI	1	11	11	11
9QCM	14	11	3416	18140
9GEI	4	11	5812	5812
8Y9K	4	11	11	11
9QUL	1	11	11	11
9QCE	6	11	3416	18140
9UG5	3	11	11	11
9QUD	1	11	11	11
8YK9	4	11	11	11
9EA9	9	11	11	29660
9UG6	3	11	11	11
9GEH	3	11	11	11
9GED	3	11	11	11
9DIY	3	11	14	121
9QUC	1	11	11	11
9QCN	3	11	11	11
9GEE	3	11	11	11
9GEG	3	11	11	11
9EIE	6	12	12	12
8RXO	2	12	12	12
9JQK	4	12	12	12
9E7T	3	12	1639	5183
9E7U	3	12	1639	4995
9KZO	15	12	12	12
9KZB	12	12	12	12
9L2S	27	12	12	12
9GJG	3	13	23	5362
9YC3	2	13	11266	11266
9NJL	12	13	8096	9936
9NNU	6	13	2613	2613
9DCX	1	13	13	13
9F90	6	13	8490	9665
9NPT	9	13	2535	8143
9NPS	12	13	2554	2554
9MR7	9	13	9174	9583
9EUH	15	13	504	8470
9M38	1	13	13	13
9EUG	27	13	2016	8470
9NPR	9	13	2535	3403
9EUF	63	13	3876	8470
9FCH	2	14	14	14
9F8Y	4	14	14	14
9EQP	8	14	14	14
9N0R	5	15	15	1076
9N0U	5	15	15	1076
8RWU	2	15	15	15
9BYK	21	15	5989	26211
9CMH	2	15	7238	7238
9BXU	21	15	5989	26211
9BOP	16	15	31446	43713
9CMI	4	15	8615	9083
9BYM	17	15	4406	14045
9LC0	24	15	15	20514
9QX1	4	15	375	375
9YF5	84	15	249	20514
9N0T	5	15	15	1076
9Q3A	5	15	15	1069
9N0Q	5	15	15	1076
9N0S	5	15	15	1076
9N36	5	16	16	738
9ECV	5	16	16	738
9ED2	5	16	16	738
9H1Y	5	16	16	1056
9H1G	5	16	16	1056
9H1Q	5	16	16	1056
9C7Y	5	16	16	738
9FKB	87	17	2281	3313
9H8B	154	17	17	17
9BAB	1	17	17	17
9BAC	1	17	17	17
9H4P	108	17	2281	5491
9FTD	1	17	17	17
8RM1	6	18	33	33
9MHA	6	18	2591	2591
9JA6	4	18	18	18
8VXQ	18	18	103	103
9EFK	48	18	2107	2647
9UX0	3	18	3190	3190
9QA6	4	18	18	18
9BGO	12	18	18	18
9S3S	3	19	19	19
9LPT	4	19	19	19
9P6X	9	19	13944	15073
9F3F	3	20	28	5455
9LCW	4	20	20	20
9DUT	21	20	95	907
9DCY	2	20	20	20
9OCE	21	20	95	907
9EUJ	14	21	3876	8470
9H7V	27	21	45	5491
9EUK	7	21	3950	8470
9EUI	25	21	3876	8470
9OLQ	5	22	22	22
9C1L	11	22	22	145
9C1J	43	22	132	172
9C1G	28	22	35	172
9C1K	40	22	35	172
8VBX	24	22	22	2033
9C1H	43	22	132	172
9YDA	4	22	13328	46778
9GJL	2	23	42	42
9GJH	2	23	42	42
9GJB	2	23	42	42
9GJE	2	23	42	42
9GJK	2	23	42	42
9GJC	2	23	30	30
9EAU	12	23	46	54
9GJJ	2	23	30	30
9GJI	2	23	42	42
9GJA	2	23	42	42
9GJM	2	23	30	30
9GJF	2	23	30	30
9GJD	2	23	42	42
8Y0E	7	24	3398	7949
9QNT	12	24	24	24
8YQX	3	24	50	3384
8XX5	7	24	3460	7949
9MX1	3	24	9394	10352
8XXT	7	24	3460	8385
9CYT	10	24	35	37
8YQU	7	24	3398	7949
9QND	12	24	24	24
8YQY	7	24	3398	7949
9QNF	12	24	24	24
8YQW	7	24	3398	7949
8YQT	7	24	3398	7949
9N8F	12	25	8634	9931
9N8E	2	25	2686	2686
9L0K	57	26	2686	5345
9CXU	6	26	326	326
8S5T	1	26	26	26
8XY6	7	26	5379	13213
9CXT	6	26	326	326
9KZ9	69	26	2651	5345
9H9Q	12	27	3932	4714
9N10	2	27	28638	28638
9P1I	24	27	19900	19900
9H9R	42	27	3932	4714
9GOS	1	27	27	27
9C9Z	10	28	6890	10695
8RM0	3	28	28	28
9CCD	10	28	6890	10695
9CAT	10	28	6890	10695
9WYP	23	29	2375	5749
9JVU	1	29	29	29
9LR9	30	30	89	151
8V9V	1	30	30	30
9THJ	3	30	30	30
9JIG	2	31	31	31
9GVG	12	31	9030	9185
9N4H	2	31	31	31
9EX9	21	31	41	3064
9BIW	2	31	31	31
9JII	6	31	31	31
9I2O	3	31	31	31
9JIK	6	31	31	31
9JIM	12	31	24683	24683
8S5R	4	31	31	31
9EXN	21	31	41	3064
9N4I	2	32	32	32
9N4G	4	32	32	32
9JIJ	2	33	33	33
9IY2	10	33	9160	10189
9GNP	3	33	33	33
9JIF	2	33	33	33
9DD2	3	33	33	33
9JIO	4	33	26151	26151
9RKS	24	34	5210	5452
9GG2	13	34	34	34
9HZ7	24	34	5210	5210
9EFI	4	34	34	34
8VVL	3	34	8285	9792
8VVK	6	34	9963	10573
9RKU	60	34	5210	19819
8VWW	5	34	9086	9790
8RD2	2	35	35	35
9JIE	6	36	36	36
9ZDG	1	36	36	36
9JIL	6	36	36	36
9AVF	2	37	37	37
8XYP	4	37	9697	11043
8XYX	4	37	9697	11043
9IRK	3	37	6554	6554
9LB2	6	37	37	37
8XYQ	4	37	9697	11043
8XYL	4	37	9697	11043
9U92	4	37	5786	9697
9JIN	12	37	27701	27701
8Y2Y	1	38	38	38
9B8J	6	38	4690	9086
9IMX	8	38	16179	16179
9GK2	18	38	38	38
8Y2Z	2	38	34476	34476
9NY6	3	38	38	38
9HPN	6	38	38	38
9D2F	28	38	10062	43884
8ZE4	2	38	34476	34476
9LB5	12	39	40	40
9JLB	3	39	39	39
8VFM	12	39	19551	19551
9ITF	3	39	39	39
9GQN	2	40	40	40
9L9Y	6	40	9298	9921
9MY8	3	40	8623	8996
9Z3Q	2	40	115	115
9EVW	8	41	41	41
9LB4	6	41	41	41
8XA0	9	41	87	87
9LB3	6	41	41	41
9OM8	4	42	42	42
9YI3	2	42	42	42
9O6K	4	42	7896	10915
9RVE	4	42	95	344
9GSQ	6	42	42	42
9OR6	2	42	42	42
9ZM0	1	42	42	42
9YL4	12	42	42	42
9OSX	3	42	8395	12217
9ISH	8	43	23847	23847
9ISF	2	43	25877	25877
9MOG	201	43	2737	9144
8RBS	85	43	2790	2790
8RBT	19	43	2790	2790
9F4B	147	43	675	11341
9OFT	1	43	43	43
9MKB	512	43	2742	9430
9K0A	6	44	44	44
9UZP	10	44	50	275
9BFR	2	44	44	44
9ARL	3	44	47	234
9BFQ	2	44	5656	5656
9K0B	2	44	44	44
9YUP	4	44	44	44
9UZO	9	44	50	275
9OP5	24	45	84	84
9OP4	24	45	84	84
9GSO	3	45	45	45
9F2B	2	46	22991	22991
9E9Y	12	46	50	2193
9NRZ	6	46	54	54
9ARK	3	46	50	240
9RYC	4	46	95	344
8W12	6	46	46	61
9F3C	2	46	22991	22991
9F2Y	2	46	22991	22991
9L3V	6	46	53	53
9F25	1	46	46	46
9NRX	24	46	54	54
9GKQ	1	46	46	46
9DQX	12	46	52	26582
8W1I	10	46	46	46
9QC7	2	46	47	47
9L1N	12	46	52	19917
9DQZ	12	46	52	20287
9L41	6	46	53	53
9UIH	6	46	53	53
9E9Z	12	46	49	2193
8W1R	11	46	46	169
8W1C	15	46	46	120
9AY1	10	46	51	9533
8VSV	16	46	51	9533
8W19	15	46	46	120
9L9A	4	46	51	51
9OGQ	1	46	46	46
9ARJ	3	46	50	240
9UIO	6	46	53	53
9E96	12	46	49	2193
9WSL	6	46	53	53
8W1S	11	46	46	169
9F2J	2	46	22991	22991
9NRY	6	46	54	54
9L99	4	46	51	51
9IYI	20	47	8184	26748
9BBN	20	47	8290	26748
9J6D	12	47	56	26748
9IXA	4	47	8184	9106
9IW2	4	47	8608	9414
9IXI	12	47	51	26748
9IZ9	20	47	8608	26748
8Y2N	4	47	4735	4735
8ZB1	4	47	4735	4735
8Y2M	4	47	4735	4735
9DQV	12	48	53	26582
8XI5	12	48	52	1575
8YW1	24	48	50	18357
8YS4	12	48	52	1575
8YVZ	12	48	50	18357
8YVY	12	48	50	18357
9KQR	12	48	54	1907
8XI4	12	48	52	1575
9BHH	20	48	8189	26748
8YS2	12	48	52	1575
9DQY	6	48	53	53
8YW0	12	48	50	18357
9RBQ	10	48	54	3586
8YW2	49	48	50	18357
9RBR	9	48	54	1907
9N5I	6	49	8637	9945
9N5K	2	49	274	274
9MVV	2	49	278	278
9MVT	1	49	49	49
9N5O	3	49	8375	9681
9N5H	7	49	9617	10082
8YQV	6	50	4408	7949
9R78	28	50	95	154
9R8U	6	51	162	162
8VB0	9	51	4533	4533
9FYA	6	52	192	192
9FYG	18	52	192	192
9MT6	6	52	202	202
9MIY	3	52	52	52
9NSC	6	52	52	52
9N0D	6	52	210	210
9MT2	6	52	176	176
9MJ1	36	52	8186	8384
8VGT	2	52	2709	2709
9FGM	1	52	52	52
9FYE	18	52	192	192
9MEW	12	52	7904	9490
9NST	6	52	52	52
9NSS	6	52	52	52
9MIV	12	52	8186	8384
9MHE	36	52	8186	8384
9NS6	6	52	52	52
9FGJ	1	52	52	52
9MJ2	6	52	184	184
9JZQ	5	52	9839	10162
9NSU	6	52	52	52
9UZB	3	54	9492	9812
8YQQ	2	54	2845	2845
9UZC	3	55	9492	9812
9UZI	3	55	9492	9812
9GHJ	4	55	9103	9288
9UZG	3	55	9492	9812
9UZE	3	55	9492	9812
9UZD	3	55	9492	9812
9JCY	9	55	8384	9706
9UZF	3	55	9492	9812
9JCX	9	55	2243	32813
9IHR	30	55	9323	37551
9IHO	27	55	7397	37551
9IHQ	28	55	9323	37551
9UZH	3	55	9492	9812
9IHP	29	55	7397	37551
9FZK	6	57	117	117
9FWO	6	57	117	117
9FWM	6	57	117	117
9FWS	6	57	117	117
9FWH	6	57	117	117
9H0B	4	57	15282	15282
9FWL	6	57	117	117
9FWJ	6	57	117	117
9FWU	6	57	117	117
9FWP	6	57	117	117
9FW2	6	57	117	117
9FWR	6	57	117	117
9FWI	6	57	117	117
9C6O	2	57	2605	2605
9FWQ	6	57	117	117
9FWT	6	57	117	117
9FZ4	6	57	117	117
9FWK	6	57	117	117
9FWN	6	57	117	117
9GHI	12	58	9252	10710
9F21	1	58	58	58
8ZUF	2	58	26565	26565
9N7E	2	58	2403	2403
9F1V	1	58	58	58
9UZA	6	59	8804	9589
9N7D	2	60	2539	2539
9E0I	2	60	2560	2560
8RZD	2	60	4209	4209
8RV7	6	60	4209	4209
8RV9	6	60	4209	4209
9D32	2	60	2620	2620
8RV4	6	60	4209	4209
8RVA	6	60	4209	4209
8RV5	6	60	4209	4209
8RV6	6	60	4209	4209
8RZC	6	60	4209	4209
8RZE	6	60	4209	4209
8RVB	6	60	4209	4209
8RV8	6	60	4209	4209
9GWO	6	61	4277	4277
8XKL	7	61	4010	4840
8XR6	30	61	2559	42141
9D81	1	61	61	61
9GRQ	6	61	4277	4277
9EMV	12	61	4277	4277
9EUN	6	61	4277	4277
9GUE	8	61	4277	4277
9GUF	8	61	4277	4277
9D80	6	61	257	5872
9GUD	8	61	4277	4277
9GUY	8	61	4277	4277
9GRP	6	61	4277	4277
9EMJ	6	61	5119	5119
9Q8H	6	61	4277	4277
9GTF	8	61	4277	4277
9GNY	6	61	4277	4277
9EML	8	61	4277	4277
9F4A	192	62	2705	11341
9CUY	35	62	4747	10988
9MJN	1990	62	3560	18207
9BQW	9	63	8930	9790
9P3L	16	64	377	377
9P3I	8	64	377	377
9P3X	16	64	377	377
9P3M	16	64	377	377
8YDR	1	64	64	64
9P3Y	8	64	357	357
8YDT	2	64	64	64
9F7I	1	64	64	64
9XPE	24	65	226	226
9B6M	2	65	166	166
8YG8	3	66	66	66
8YG6	3	66	66	66
9I81	3	66	66	392
9KPF	4	67	6322	45103
9KPD	4	67	11954	45103
9K6L	4	67	6226	45103
9KPE	4	67	6347	45103
9E03	6	67	18223	18223
9QB8	1	68	68	68
9QHH	1	68	68	68
9QBB	1	68	68	68
9D93	36	69	2547	45633
9EUW	1	69	69	69
9V2P	3	69	24898	24898
9EUV	1	69	69	69
9L5V	66	71	2551	4052
8XLP	22	71	2525	5018
9F8E	4	71	9077	9077
8ZGU	3	71	9597	9847
8ZE6	4	71	26819	26819
8ZDX	4	71	22551	22551
9JPT	8	71	71	71
9K9N	3	71	21483	21483
9B3H	2	71	4420	4420
9X6Q	2	72	72	72
9H2J	16	72	76	3492
8VWJ	36	72	76	116
8VWI	36	72	76	116
9H2B	14	72	76	116
9H2A	32	72	76	116
9H2C	4	72	78	78
9QT3	12	73	9009	9634
9GN0	1	73	73	73
9OG2	3	73	28741	31322
9SHD	9	73	8301	10248
9OG1	1	73	73	73
9GNH	3	73	73	73
9EN4	2	74	74	74
9UMS	5	74	76	18965
9IRO	2	74	13238	13238
9JPS	8	75	75	75
9JPR	8	75	75	75
8X9X	12	76	85	85
8VWH	8	76	76	76
9O4P	4	76	76	76
9UK5	3	76	9704	9723
8X9Z	14	76	85	86
8XA3	12	76	87	87
8X9Y	12	76	85	85
9O4O	4	76	76	76
9LRY	3	76	79	29403
9XPH	12	76	131	12601
9EJE	4	76	76	76
9X80	23	76	79	29403
9O4N	4	76	76	76
9KRQ	2	76	76	76
9LS0	2	76	29403	29403
9CYE	12	76	8729	9557
9O4Q	4	76	76	76
9BTC	1	76	76	76
9NEI	5	76	76	76
9H1S	2	76	76	76
8XA2	8	76	87	87
9VP0	3	76	9704	9723
9X7V	18	76	29403	29403
9X7S	24	76	79	29403
8YVK	4	77	77	77
8X9W	6	77	85	87
8XA1	8	77	83	87
9OSR	4	77	77	77
9CYG	4	78	78	78
9KOD	4	78	78	78
9CYF	12	78	8729	9557
9L44	4	78	78	78
9CYI	12	78	8348	10044
9CYJ	6	78	78	10192
8Z4E	5	78	9730	9987
9H2K	4	78	78	78
9EWQ	4	78	78	78
9SXC	2	79	6899	6899
9EIT	4	79	79	79
9NAZ	3	80	80	80
9HLH	4	80	80	80
9NFP	3	80	80	80
9R5T	4	80	80	80
9HLI	4	80	80	80
9NIO	3	80	80	80
9NHA	3	80	80	80
9S2V	2	80	80	80
9NHU	3	80	80	80
9HLG	4	80	80	80
9NJG	1	80	80	80
9FQR	4488	81	4509	47928
9AY5	78	81	4890	7910
9VZK	12	81	3534	17927
8ROQ	16	81	147	147
9GQX	2	81	81	81
9PNQ	1	81	81	81
9PNT	1	82	82	82
8VY9	4	82	5223	6466
9FM2	4	82	82	82
9PNR	1	82	82	82
9BYF	9	82	8184	9927
8ZR4	24	82	17979	17979
8RN0	5	83	94	6246
9MQW	1	83	83	83
9IJV	4	83	83	83
9S0M	2	83	83	83
8RMP	3	83	94	417
9SAL	2	83	83	83
8YVM	4	83	83	83
8RMS	3	83	94	417
8RMQ	3	83	94	417
9SAM	2	83	83	83
9KRA	2	83	28387	28387
9SAJ	6	83	83	83
8ZYX	4	83	83	83
9SAK	4	83	83	83
8YVN	4	83	83	83
9KRB	2	83	2493	2493
9MQV	3	83	9454	9805
8RMR	7	83	94	6246
9SAN	2	83	83	83
9OPV	10	84	84	84
8YVL	4	84	84	84
9NEE	2	84	101	101
9O9V	4	84	84	84
9OP8	12	84	84	84
8Y7M	6	84	102	353
8Y7O	18	84	102	353
9OPC	12	84	84	84
9OPB	10	84	84	84
9EJF	4	84	84	84
9DGO	6	85	85	85
8RNB	5	85	97	6246
9V2L	3	85	24898	24898
8RN8	6	85	97	448
8RN4	5	85	97	448
8RN7	5	85	97	448
8RN9	5	85	97	448
8RN3	5	85	97	448
9TH6	2	85	23019	23019
8RNC	9	85	97	6246
9NDT	2	85	101	101
9NE0	2	85	101	101
8RN5	5	85	97	448
9HH5	6	85	164	164
8RNA	10	85	97	6246
8RN6	3	85	97	448
9O5U	4	85	85	85
8RN2	3	85	97	448
8YSH	1	86	86	86
9HPA	8	86	8124	8335
9R0J	3	86	103	8124
9MD4	4	86	86	86
9HLS	10	86	7799	8196
9MD2	4	86	86	86
9MD6	4	86	86	86
9MD5	4	86	86	86
9GQT	6	86	86	86
9NEL	2	86	101	101
9MD3	4	86	86	86
9R09	3	86	103	8124
9HNG	3	86	101	8124
9R0B	3	86	103	8124
8ZU9	3	87	8590	9818
8YDL	6	87	87	87
8ZUA	12	87	8506	9755
9JJ6	6	87	24620	24620
9GQQ	2	87	87	87
8YSF	2	87	87	87
8V7W	6	87	87	87
8V8E	6	88	88	88
9KMC	6	88	9340	10215
8XWG	1	88	88	88
9PMP	3	88	88	88
9XQS	28	88	128	246
9NGY	15	88	415	1261
9CDS	18	88	9257	9367
9NH0	69	88	924	1261
9PN3	1	88	88	88
9PNM	1	88	88	88
9VHZ	3	88	8859	9717
9JSA	2	88	88	88
9LF8	12	88	8182	9686
9PO6	1	89	89	89
9J7Y	1	89	89	89
9GY5	1	89	89	89
9PNL	1	90	90	90
9PN2	1	90	90	90
9RDH	4	90	18382	49872
9HBK	4	90	18382	49872
9PMR	3	90	90	90
9OC7	4	91	8484	8484
9LZW	6	91	91	91
9OC6	2	91	8484	8484
9LZL	6	91	91	91
8V7T	6	92	92	92
9V85	2	92	92	92
9KNQ	5	93	93	922
9I44	3	93	93	93
9NDA	2	93	100	100
9UUS	4	93	2007	2249
9EJW	6	93	4409	4409
9KNT	4	93	93	922
9VKW	4	93	2007	2249
9NDQ	2	93	100	100
9UUO	4	93	2007	2249
8VGZ	3	93	93	93
9KNV	4	93	93	922
8Y8V	1	94	94	94
8V8G	6	94	94	94
9EXA	6	94	8934	9626
9DUS	15	95	95	907
9WYE	3	95	95	95
9OCF	5	95	95	907
9IVW	2	96	96	96
9R6R	1	96	96	96
9JMO	3	96	96	96
9R6Q	2	96	96	96
9R6O	2	96	96	96
9KYD	6	96	96	2289
9FTF	3	96	96	96
9IVX	9	96	96	150
9R6P	3	96	96	96
9KYC	5	96	96	39234
9JG9	5	97	4913	4913
9JMF	3	97	97	97
9WYD	6	97	8484	8484
9JG8	6	97	4913	4913
9H3J	3	97	97	97
8ZDO	39	97	5334	21236
8ZDQ	33	97	5334	21236
9JMP	3	98	98	98
9LIE	1	98	98	98
9D4T	3	98	98	98
9QAA	2	98	3645	3645
9CN2	2	98	5949	5949
9WYG	3	98	98	98
9OH5	2	98	98	98
9DOJ	6	99	99	99
9Q9V	2	99	3645	3645
9UEA	3	99	99	99
9VVR	36	100	2077	2106
9JMH	3	100	100	100
9FXX	1	100	100	100
8RT1	9	100	100	100
8Y88	5	100	100	2810
9CBN	24	100	8674	10461
8Y8G	3	100	100	100
8Y87	12	100	100	2810
9DBT	8	100	8435	8435
8Y8A	6	100	2810	2810
8Y89	5	100	100	2810
8Y8D	3	100	100	100
8Y8J	2	100	100	100
8Y8E	3	100	100	100
8Y8H	3	100	100	100
8Y8F	3	100	100	100
8S0M	6	100	2800	12563
9FXV	1	100	100	100
8Y8I	3	100	100	100
8RT0	1	100	100	100
8Y8B	4	100	2810	2810
8Y8C	3	100	100	100
9VUV	6	100	100	100
9NDZ	2	101	102	102
9LVT	6	101	101	101
9N9U	1	101	101	101
9NEB	2	101	102	102
9JUF	2	101	101	101
8S2F	2	101	101	101
8Y7X	18	101	2810	2810
9KGN	2	101	101	101
9KGS	2	101	101	101
9KGR	2	101	101	101
9KGQ	2	101	101	101
9L7B	2	101	101	101
9BOO	3	101	101	101
9N8P	12	101	323	323
9L6N	2	101	101	101
8ZQ8	3	101	101	101
9LVV	3	101	101	101
8Y7Y	3	101	101	2810
9PAC	4	101	101	101
9FEJ	1	101	101	101
9Y8W	8	101	101	101
9VS1	6	101	101	101
9L4S	2	101	101	101
9KZ3	2	101	101	101
9DW6	2	101	101	101
9KGJ	2	101	101	101
9KZF	2	101	101	101
9KZS	2	101	101	101
9KSH	3	102	102	102
8ZT9	8	102	102	102
9ASW	6	102	102	102
9NA0	1	102	102	102
9PKR	6	102	102	102
9VUT	6	102	102	102
9CJU	6	102	102	102
9J19	6	102	102	102
9KSI	3	102	102	102
9CPC	375	102	4330	35105
9ART	6	102	102	102
9AT6	6	102	102	102
9AT4	6	102	102	102
9F39	1	102	102	102
9X7D	6	102	102	102
9M6Q	2	102	102	102
8ZAI	2	102	102	102
8YOY	2	102	2845	2845
9AT7	6	102	102	102
9KX0	1	102	102	102
9MVO	4	102	102	102
9KR5	3	102	102	102
9AT5	6	102	102	102
